AI Model / Tool,ChatGPT,Claude,Gemini,Perplexity,Copilot
Prompt Used,"Create a concise research brief on the current job interview process from start to finish for internship-seeking students and entry-level job searchers. Include: key concepts, common misconceptions, risks, best practices, and 5 credible sources I should consult (titles + what each source is useful for). Keep it under 350 words.",,,,
Response Time (fast/med/slow or seconds),med,med,fast,fast,slow
Accuracy / correctness (does it make technical sense?),yes,yes,yes,yes,yes
Completeness (did it meet requirements?),yes,yes,yes,yes,yes
Clarity / usability (would a client understand it?),"It used some terms that without explaining that a client may not know, such as STAR method and ATS screening. Steps from follow-up question are a little hard to follow.","Yes, the same concepts STAR and ATS were labeled with that they stood for. Follow-up answer provided actionable details with numerical quantities.","Yes, It provided terms such as STAR and the 70/30 rules, then explained what they stand for and how they're used.","The formatting is clear and easy to read, but the response is confusing because some terms are mentioned without explaining what they mean.","Yes, the content is well structured, clearly labeled, and easy for a client to understand."
"Reliability (consistent, stable, low hallucination)",yes,"yes, facts and percentages matched thes sources they came from.",yes,"Yes, the information provided is accurate, but it is presented at a high level and lacks sufficient detail.","Yes, the information is accurate, consistent, and does not show signs of hallucination."
"Efficiency (time, verbosity, needed follow-ups)",There is need for follow-up. The 5 sources provided were vague.,Limited need for follow-up.,No follow-up needed. Response was efficeint,There is a need for follow-up to explain certain terms,"Yes, the response is well organized and easy to read, but may require one follow-up question for additional detail or clarification."
Final Score (1–5),4,5,5,4,4
Score Rationale (1–2 sentences),"The information provided was mostly accurate, just difficult to follow at time. There seemed to be no glaring errors, but speed and efficiency could have been better.",Claude showed the source information everytime it used something specific from the web and the information was easily readable for our audience.,The chatbot provided a clear and accurate response. It was delivered promptly and supported with useful sources.,"The response clearly presents each category in a step-by-step manner, which makes it easy to follow and understand. However, it lacks specificity, as the explanations are too general and do not provide enough detail.","The response is clear, reliable, and well organized with practical guidance. It could score higher with more concise wording or tailored examples for a specific audience."
Links / Artifacts (if any),,,,,
